iter	Passed	Remaining
0	2	2010
1	4	2069
2	6	2102
3	8	2037
4	9	1965
5	12	2040
6	14	2010
7	15	1966
8	17	1959
9	20	1984
10	22	1994
11	24	1979
12	26	1980
13	27	1957
14	29	1953
15	31	1947
16	33	1940
17	35	1930
18	37	1960
19	39	1956
20	41	1949
21	43	1946
22	45	1931
23	47	1925
24	49	1914
25	50	1902
26	52	1895
27	54	1888
28	56	1879
29	58	1876
30	59	1868
31	61	1859
32	63	1856
33	65	1856
34	67	1851
35	69	1849
36	71	1851
37	72	1847
38	74	1844
39	76	1842
40	78	1841
41	80	1840
42	82	1836
43	84	1831
44	86	1829
45	88	1826
46	89	1822
47	91	1818
48	93	1812
49	95	1809
50	97	1805
51	99	1806
52	100	1802
53	102	1799
54	104	1799
55	106	1801
56	108	1798
57	110	1797
58	112	1793
59	114	1794
60	116	1793
61	118	1791
62	120	1788
63	122	1786
64	124	1784
65	125	1782
66	128	1783
67	129	1781
68	131	1779
69	134	1784
70	136	1782
71	138	1785
72	140	1781
73	142	1781
74	144	1784
75	146	1786
76	148	1785
77	151	1785
78	153	1784
79	155	1782
80	157	1781
81	159	1783
82	161	1782
83	163	1782
84	165	1781
85	167	1779
86	169	1777
87	171	1774
88	172	1769
89	174	1767
90	177	1770
91	178	1766
92	180	1764
93	183	1765
94	185	1763
95	187	1762
96	189	1762
97	191	1761
98	193	1758
99	194	1754
100	196	1751
101	198	1749
102	200	1747
103	202	1745
104	204	1742
105	206	1739
106	208	1735
107	209	1733
108	211	1731
109	213	1728
110	215	1727
111	217	1725
112	219	1721
113	221	1719
114	223	1716
115	224	1714
116	226	1712
117	228	1710
118	230	1706
119	232	1703
120	233	1699
121	235	1696
122	237	1693
123	239	1691
124	241	1688
125	243	1686
126	244	1683
127	246	1681
128	248	1678
129	250	1676
130	252	1673
131	254	1670
132	255	1667
133	257	1665
134	259	1662
135	261	1659
136	263	1657
137	264	1655
138	266	1653
139	268	1650
140	270	1648
141	272	1646
142	274	1644
143	276	1641
144	277	1638
145	279	1635
146	281	1632
147	283	1630
148	285	1629
149	287	1626
150	288	1624
151	290	1622
152	292	1619
153	294	1616
154	296	1613
155	297	1610
156	299	1608
157	301	1607
158	303	1605
159	305	1603
160	307	1600
161	308	1597
162	310	1596
163	312	1594
164	315	1596
165	317	1594
166	319	1592
167	321	1590
168	323	1588
169	325	1587
170	327	1585
171	328	1582
172	330	1581
173	332	1579
174	334	1577
175	336	1574
176	338	1572
177	340	1570
178	341	1568
179	343	1565
180	345	1562
181	347	1560
182	348	1557
183	350	1555
184	352	1553
185	354	1550
186	356	1548
187	358	1549
188	360	1546
189	362	1543
190	363	1541
191	365	1539
192	367	1537
193	369	1535
194	371	1532
195	373	1530
196	375	1528
197	376	1526
198	378	1524
199	380	1522
200	382	1520
201	384	1517
202	386	1516
203	388	1514
204	389	1512
205	391	1509
206	393	1507
207	395	1505
208	397	1502
209	398	1500
210	400	1498
211	402	1496
212	404	1495
213	406	1493
214	408	1491
215	410	1489
216	412	1487
217	414	1485
218	415	1483
219	417	1480
220	419	1478
221	421	1476
222	423	1473
223	424	1472
224	426	1469
225	428	1467
226	430	1464
227	431	1462
228	433	1459
229	435	1457
230	437	1455
231	439	1453
232	440	1451
233	442	1448
234	444	1446
235	446	1444
236	448	1442
237	449	1440
238	451	1438
239	453	1436
240	455	1434
241	457	1432
242	459	1430
243	461	1430
244	463	1428
245	465	1426
246	467	1424
247	469	1422
248	471	1420
249	472	1418
250	474	1416
251	476	1414
252	478	1412
253	480	1410
254	482	1408
255	483	1406
256	485	1404
257	487	1402
258	489	1400
259	491	1397
260	492	1395
261	494	1393
262	496	1391
263	498	1390
264	500	1387
265	502	1385
266	504	1384
267	506	1382
268	507	1379
269	509	1377
270	511	1375
271	513	1373
272	514	1371
273	516	1369
274	518	1367
275	520	1365
276	522	1363
277	524	1361
278	525	1359
279	527	1356
280	529	1354
281	531	1353
282	533	1350
283	534	1348
284	536	1346
285	538	1343
286	540	1342
287	541	1339
288	543	1337
289	545	1335
290	547	1333
291	549	1331
292	551	1329
293	552	1327
294	555	1326
295	556	1324
296	558	1322
297	560	1320
298	562	1317
299	563	1315
300	565	1313
301	567	1311
302	570	1311
303	572	1309
304	573	1307
305	575	1305
306	577	1303
307	579	1301
308	580	1299
309	582	1297
310	584	1295
311	586	1293
312	588	1291
